"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","08-FEB-16","05-FEB-16","07:30:00Z","CHESAPEAKE","Virginia","","AIRCRAFT ON TAXI, GEAR RETRACTED, CHESAPEAKE,  VA","Incident","FAA Richmond FSDO-21","N261ER","","","AERO COMMANDER","500","","Unknown","","TAXI (TXI)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","08-FEB-16","05-FEB-16","22:30:00Z","GRIFFIN","Georgia","","AIRCRAFT ON LANDING, GEAR COLLAPSED, GRIFFIN, GA","Incident","FAA Atlanta FSDO-11","N395MC","","","CESSNA","310","","Minor","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","08-FEB-16","07-FEB-16","19:21:00Z","GAITHERSBURG","Maryland","","AIRCRAFT ON LANDING WENT OFF THE END OF THE RUNWAY, GAITHERSBURG, MD","Incident","FAA Baltimore FSDO-07","N5926Q","","","MOONEY","M20E","","Unknown","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","08-FEB-16","05-FEB-16","20:54:00Z","MONTEREY","California","","AIRCRAFT ON LANDING, NOSE GEAR COLLAPSED, MONTEREY, CA","Incident","FAA San Jose FSDO-15","N6036G","","","BEECH","35","","None","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","08-FEB-16","06-FEB-16","22:00:00Z","WEST MEMPHIS","Arkansas","","AIRCRAFT ON LANDING, GEAR COLLAPSED, WEST MEMPHIS, AR","Incident","FAA Little Rock FSDO-11","N779CS","","","SABRELINER","NA265","","Unknown","","LANDING (LDG)","","None","","2","","","","","","","","","","","","","","","","","","",""
"No","08-FEB-16","04-FEB-16","23:15:00Z","EASTON","Maryland","","AIRCRAFT ON LANDING, STRUCK A SIGN AND RUNWAY LIGHTS, EASTON, MD","Incident","FAA Baltimore FSDO-07","N75PW","","","MOONEY","M20K","","Minor","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","08-FEB-16","06-FEB-16","15:36:00Z","EUREKA","Kansas","","AIRCRAFT LANDED GEAR UP, EUREKA, KS","Incident","FAA Wichita FSDO-64","N8381P","","","PIPER","PA24","","Minor","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","08-FEB-16","06-FEB-16","14:17:00Z","EL PASO","Texas","","SOUTHWEST AIRLINES FLIGHT SWA3817 BOEING 737 AIRCRAFT, REGISTRATION NOT REPORTED,  ENCOUNTERED TURBULENCE AND 1 FLIGHT ATTENDANT SUSTAINED UNKNOWN INJURIES AND TRANSPORTED TO THE HOSPITAL, DIVERTED AND LANDED WITHOUT INCIDENT, EL PASO, TX","Incident","FAA Lubbock FSDO-13","SWA3817","SWA3817","SWA-Southwest Airlines","BOEING","737","","","Commercial","","","Unknown","","","","","","","","","","","1","","","","","","","","","",""
"No","08-FEB-16","31-DEC-15","17:00:00Z","SAN ANTONIO","Texas","","AIRCRAFT ON LANDING, GROUND LOOPED, BULVERDE AIRPARK,  SAN ANTONIO, TX","Accident","FAA San Antonio FSDO-17","N47185","","","AERONCA","O58B","","Substantial","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","08-FEB-16","05-FEB-16","11:17:00Z","MARICOPA","Arizona","","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES, THE 2 PERSONS ON BOARD WERE FATALLY INJURED, NEAR MARICOPA, AZ","Accident","FAA Scottsdale FSDO-07","N551JP","","","NORTH AMERICAN","F51","","Destroyed","","UNKNOWN (UNK)","","Fatal","Yes","","","","2","","","","","","","","","","","","","","","",""
"No","08-FEB-16","05-FEB-16","23:02:00Z","SAN PEDRO","California","","N9872R, BEECH M35 AIRCRAFT, AND N5057G, BELLANCE 8KCAB AIRCRAFT, COLLIDED MIDAIR OVER THE PACIFIC OCEAN OFF THE COAST, THE 2 PERSONS ON BOARD N9872R WERE FATALLY INJURED, THE 1 PERSON ON BOARD N5057G WAS FATALLY INJURED, WRECKAGE LOCATED OFF THE COAST NEAR SAN PEDRO, CA","Accident","FAA Long Beach FSDO-05","N5057G","","","CHAMPION","8KCAB","","Destroyed","","UNKNOWN (UNK)","","Fatal","Yes","","","","1","","","","","","","","","","","","","","","",""
"No","08-FEB-16","05-FEB-16","23:02:00Z","SAN PEDRO","California","","N9872R, BEECH M35 AIRCRAFT, AND N5057G, BELLANCE 8KCAB AIRCRAFT, COLLIDED MIDAIR OVER THE PACIFIC OCEAN OFF THE COAST, THE 2 PERSONS ON BOARD N9872R WERE FATALLY INJURED, THE 1 PERSON ON BOARD N5057G WAS FATALLY INJURED, WRECKAGE LOCATED OFF THE COAST NEAR SAN PEDRO, CA","Accident","FAA Long Beach FSDO-05","N9872R","","","BEECH","35","","Destroyed","","UNKNOWN (UNK)","","Fatal","Yes","","","","2","","","","","","","","","","","","","","","",""
"Yes","02-FEB-16","02-FEB-16","01:52:00Z","MOBILE","Alabama","","N784CP AIRCRAFT CRASHED INTO A WOODED AREA NEAR THE AIRPORT, THE 2 PERSONS ON  BOARD WERE FATALLY INJURED, MOBILE, AL UPDATE REGISTRATION N784CP,","Accident","FAA Birmingham FSDO-09","N784CP","","","CESSNA","182","","Unknown","","UNKNOWN (UNK)","","Fatal","Yes","","","","2","","","","","","","","","","","","","","","",""
